Club,club_logo_url
Paris Saint-Germain,https://cdn.sofifa.net/teams/73/60.png
FC Bayern München,https://cdn.sofifa.net/teams/21/60.png
Manchester United,https://cdn.sofifa.net/teams/11/60.png
Manchester City,https://cdn.sofifa.net/teams/10/60.png
Atlético de Madrid,https://cdn.sofifa.net/teams/240/60.png
FC Barcelona,https://cdn.sofifa.net/teams/241/60.png
Tottenham Hotspur,https://cdn.sofifa.net/teams/18/60.png
Chelsea,https://cdn.sofifa.net/teams/5/60.png
Real Madrid CF,https://cdn.sofifa.net/teams/243/60.png
Liverpool,https://cdn.sofifa.net/teams/9/60.png
Borussia Dortmund,https://cdn.sofifa.net/teams/22/60.png
Juventus,https://cdn.sofifa.net/teams/45/60.png
Lazio,https://cdn.sofifa.net/teams/46/60.png
Inter,https://cdn.sofifa.net/teams/44/60.png
Villarreal CF,https://cdn.sofifa.net/teams/483/60.png
VfL Wolfsburg,https://cdn.sofifa.net/teams/175/60.png
Napoli,https://cdn.sofifa.net/teams/48/60.png
Leicester City,https://cdn.sofifa.net/teams/95/60.png
Sevilla FC,https://cdn.sofifa.net/teams/481/60.png
Real Sociedad,https://cdn.sofifa.net/teams/457/60.png
Borussia M?nchengladbach,https://cdn.sofifa.net/teams/23/60.png
RB Leipzig,https://cdn.sofifa.net/teams/112172/60.png
Arsenal,https://cdn.sofifa.net/teams/1/60.png
AC Milan,https://cdn.sofifa.net/teams/47/60.png
RC Celta de Vigo,https://cdn.sofifa.net/teams/450/60.png
Ajax,https://cdn.sofifa.net/teams/245/60.png
AS Monaco,https://cdn.sofifa.net/teams/69/60.png
Everton,https://cdn.sofifa.net/teams/7/60.png
Atalanta,https://cdn.sofifa.net/teams/39/60.png
Aston Villa,https://cdn.sofifa.net/teams/2/60.png
Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/60.png
Real Betis Balompié,https://cdn.sofifa.net/teams/449/60.png
Los Angeles FC,https://cdn.sofifa.net/teams/112996/60.png
Olympique Lyonnais,https://cdn.sofifa.net/teams/66/60.png
Al Ahli,https://cdn.sofifa.net/teams/112387/60.png
Athletic Club de Bilbao,https://cdn.sofifa.net/teams/448/60.png
Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/60.png
Roma,https://cdn.sofifa.net/teams/52/60.png
Sporting CP,https://cdn.sofifa.net/teams/237/60.png
Burnley,https://cdn.sofifa.net/teams/1796/60.png
Wolverhampton Wanderers,https://cdn.sofifa.net/teams/110/60.png
Valencia CF,https://cdn.sofifa.net/teams/461/60.png
TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/60.png
Grêmio,https://cdn.sofifa.net/teams/1629/60.png
FC Porto,https://cdn.sofifa.net/teams/236/60.png
West Ham United,https://cdn.sofifa.net/teams/19/60.png
Genoa,https://cdn.sofifa.net/teams/110556/60.png
Al Shabab,https://cdn.sofifa.net/teams/111674/60.png
Be?ikta? JK,https://cdn.sofifa.net/teams/327/60.png
Shanghai Port FC,https://cdn.sofifa.net/teams/112540/60.png
PSV,https://cdn.sofifa.net/teams/247/60.png
PFC CSKA Moscow,https://cdn.sofifa.net/teams/315/60.png
Crystal Palace,https://cdn.sofifa.net/teams/1799/60.png
Levante Unión Deportiva,https://cdn.sofifa.net/teams/1853/60.png
SL Benfica,https://cdn.sofifa.net/teams/234/60.png
U.S. Sassuolo Calcio,https://cdn.sofifa.net/teams/111974/60.png
Al Nassr,https://cdn.sofifa.net/teams/112139/60.png
RB Bragantino,https://cdn.sofifa.net/teams/112472/60.png
Leeds United,https://cdn.sofifa.net/teams/8/60.png
Dinamo Zagreb,https://cdn.sofifa.net/teams/211/60.png
LOSC Lille,https://cdn.sofifa.net/teams/65/60.png
Orlando City Soccer Club,https://cdn.sofifa.net/teams/112606/60.png
Tigres U.A.N.L.,https://cdn.sofifa.net/teams/1970/60.png
Olympique de Marseille,https://cdn.sofifa.net/teams/219/60.png
Inter Miami CF,https://cdn.sofifa.net/teams/112893/60.png
1. FC Union Berlin,https://cdn.sofifa.net/teams/1831/60.png
Bologna,https://cdn.sofifa.net/teams/189/60.png
Shakhtar Donetsk,https://cdn.sofifa.net/teams/101059/60.png
OGC Nice,https://cdn.sofifa.net/teams/72/60.png
Unión Deportiva Las Palmas,https://cdn.sofifa.net/teams/472/60.png
Olympiacos CFP,https://cdn.sofifa.net/teams/280/60.png
Southampton,https://cdn.sofifa.net/teams/17/60.png
Cagliari,https://cdn.sofifa.net/teams/1842/60.png
?stanbul Ba?ak?ehir FK,https://cdn.sofifa.net/teams/101014/60.png
Torino F.C.,https://cdn.sofifa.net/teams/54/60.png
Granada CF,https://cdn.sofifa.net/teams/110832/60.png
Getafe CF,https://cdn.sofifa.net/teams/1860/60.png
Newcastle United,https://cdn.sofifa.net/teams/13/60.png
Clube Atlético Mineiro,https://cdn.sofifa.net/teams/1035/60.png
Sport Club Corinthians Paulista,https://cdn.sofifa.net/teams/1041/60.png
Flamengo,https://cdn.sofifa.net/teams/1043/60.png
Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/60.png
Parma,https://cdn.sofifa.net/teams/50/60.png
Club América,https://cdn.sofifa.net/teams/1879/60.png
Trabzonspor,https://cdn.sofifa.net/teams/436/60.png
Club Brugge KV,https://cdn.sofifa.net/teams/231/60.png
Fatih Karagümrük S.K.,https://cdn.sofifa.net/teams/111117/60.png
Royal Antwerp FC,https://cdn.sofifa.net/teams/230/60.png
Galatasaray SK,https://cdn.sofifa.net/teams/325/60.png
Fiorentina,https://cdn.sofifa.net/teams/110374/60.png
Boca Juniors,https://cdn.sofifa.net/teams/1877/60.png
Udinese Calcio,https://cdn.sofifa.net/teams/55/60.png
River Plate,https://cdn.sofifa.net/teams/1876/60.png
Seattle Sounders FC,https://cdn.sofifa.net/teams/111144/60.png
Beijing Guoan FC,https://cdn.sofifa.net/teams/111768/60.png
Toronto FC,https://cdn.sofifa.net/teams/111651/60.png
Montpellier Hérault SC,https://cdn.sofifa.net/teams/70/60.png
CF Monterrey,https://cdn.sofifa.net/teams/1032/60.png
Atlanta United,https://cdn.sofifa.net/teams/112885/60.png
Spartak Moskva,https://cdn.sofifa.net/teams/100767/60.png
Stade Rennais FC,https://cdn.sofifa.net/teams/74/60.png
Deportivo Alavés,https://cdn.sofifa.net/teams/463/60.png
RCD Espanyol de Barcelona,https://cdn.sofifa.net/teams/452/60.png
Cruz Azul,https://cdn.sofifa.net/teams/1878/60.png
Fluminense,https://cdn.sofifa.net/teams/567/60.png
Internacional,https://cdn.sofifa.net/teams/1048/60.png
SV Werder Bremen,https://cdn.sofifa.net/teams/38/60.png
Dynamo Kyiv,https://cdn.sofifa.net/teams/101047/60.png
Vissel Kobe,https://cdn.sofifa.net/teams/101146/60.png
US Salernitana 1919,https://cdn.sofifa.net/teams/110373/60.png
FC Girondins de Bordeaux,https://cdn.sofifa.net/teams/59/60.png
Al Hilal,https://cdn.sofifa.net/teams/605/60.png
Guangzhou City,https://cdn.sofifa.net/teams/112429/60.png
U.C. Sampdoria,https://cdn.sofifa.net/teams/1837/60.png
Fenerbah?e SK,https://cdn.sofifa.net/teams/326/60.png
Guangzhou FC,https://cdn.sofifa.net/teams/111839/60.png
Gimnasia y Esgrima La Plata,https://cdn.sofifa.net/teams/101084/60.png
FC Augsburg,https://cdn.sofifa.net/teams/100409/60.png
Elche CF,https://cdn.sofifa.net/teams/468/60.png
SC Braga,https://cdn.sofifa.net/teams/1896/60.png
Sport-Club Freiburg,https://cdn.sofifa.net/teams/25/60.png
Shenzhen FC,https://cdn.sofifa.net/teams/111773/60.png
CA Osasuna,https://cdn.sofifa.net/teams/479/60.png
KRC Genk,https://cdn.sofifa.net/teams/673/60.png
Racing Club,https://cdn.sofifa.net/teams/101085/60.png
Fortaleza,https://cdn.sofifa.net/teams/111052/60.png
Santos,https://cdn.sofifa.net/teams/1053/60.png
Feyenoord,https://cdn.sofifa.net/teams/246/60.png
AZ Alkmaar,https://cdn.sofifa.net/teams/1906/60.png
Cádiz CF,https://cdn.sofifa.net/teams/1968/60.png
Club Universidad Nacional,https://cdn.sofifa.net/teams/1881/60.png
Watford,https://cdn.sofifa.net/teams/1795/60.png
Rayo Vallecano,https://cdn.sofifa.net/teams/480/60.png
Hertha BSC,https://cdn.sofifa.net/teams/166/60.png
CF Fuenlabrada,https://cdn.sofifa.net/teams/110065/60.png
FC Metz,https://cdn.sofifa.net/teams/68/60.png
RCD Mallorca,https://cdn.sofifa.net/teams/453/60.png
Hellas Verona,https://cdn.sofifa.net/teams/206/60.png
LA Galaxy,https://cdn.sofifa.net/teams/697/60.png
UD Ibiza,https://cdn.sofifa.net/teams/113981/60.png
Racing Club de Lens,https://cdn.sofifa.net/teams/64/60.png
Adana Demirspor,https://cdn.sofifa.net/teams/101016/60.png
DSC Arminia Bielefeld,https://cdn.sofifa.net/teams/159/60.png
Club Atlético Independiente,https://cdn.sofifa.net/teams/110093/60.png
1. FC K?ln,https://cdn.sofifa.net/teams/31/60.png
BSC Young Boys,https://cdn.sofifa.net/teams/900/60.png
New England Revolution,https://cdn.sofifa.net/teams/691/60.png
SK Slavia Praha,https://cdn.sofifa.net/teams/266/60.png
RC Strasbourg Alsace,https://cdn.sofifa.net/teams/76/60.png
Real Valladolid CF,https://cdn.sofifa.net/teams/462/60.png
Club León,https://cdn.sofifa.net/teams/110781/60.png
Angers SCO,https://cdn.sofifa.net/teams/1530/60.png
S?o Paulo,https://cdn.sofifa.net/teams/598/60.png
Palmeiras,https://cdn.sofifa.net/teams/383/60.png
FC Nantes,https://cdn.sofifa.net/teams/71/60.png
VfB Stuttgart,https://cdn.sofifa.net/teams/36/60.png
Stade de Reims,https://cdn.sofifa.net/teams/379/60.png
Vitória de Guimar?es,https://cdn.sofifa.net/teams/1887/60.png
Rangers FC,https://cdn.sofifa.net/teams/86/60.png
Norwich City,https://cdn.sofifa.net/teams/1792/60.png
Portland Timbers,https://cdn.sofifa.net/teams/111140/60.png
FC Lokomotiv Moscow,https://cdn.sofifa.net/teams/100765/60.png
Shanghai Shenhua FC,https://cdn.sofifa.net/teams/110955/60.png
Stade Brestois 29,https://cdn.sofifa.net/teams/378/60.png
Fulham,https://cdn.sofifa.net/teams/144/60.png
West Bromwich Albion,https://cdn.sofifa.net/teams/109/60.png
Al Ittihad,https://cdn.sofifa.net/teams/607/60.png
Club Atlas,https://cdn.sofifa.net/teams/101114/60.png
N?mes Olympique,https://cdn.sofifa.net/teams/224/60.png
Portimonense SC,https://cdn.sofifa.net/teams/10031/60.png
Minnesota United FC,https://cdn.sofifa.net/teams/111138/60.png
Santos Laguna,https://cdn.sofifa.net/teams/110144/60.png
FC Basel 1893,https://cdn.sofifa.net/teams/896/60.png
SC Heerenveen,https://cdn.sofifa.net/teams/1913/60.png
SD Huesca,https://cdn.sofifa.net/teams/110839/60.png
Real Sporting de Gijón,https://cdn.sofifa.net/teams/459/60.png
Servette FC,https://cdn.sofifa.net/teams/324/60.png
Deportivo Toluca,https://cdn.sofifa.net/teams/1882/60.png
Western United FC,https://cdn.sofifa.net/teams/114023/60.png
F.C. K?benhavn,https://cdn.sofifa.net/teams/819/60.png
Universidad Católica,https://cdn.sofifa.net/teams/110975/60.png
FC Red Bull Salzburg,https://cdn.sofifa.net/teams/191/60.png
Club Atlético Colón,https://cdn.sofifa.net/teams/110406/60.png
Club Libertad,https://cdn.sofifa.net/teams/111008/60.png
Rosario Central,https://cdn.sofifa.net/teams/110580/60.png
Demir Grup Sivasspor,https://cdn.sofifa.net/teams/101041/60.png
Girona FC,https://cdn.sofifa.net/teams/110062/60.png
Unión Deportiva Almería,https://cdn.sofifa.net/teams/1861/60.png
Barcelona Sporting Club,https://cdn.sofifa.net/teams/110981/60.png
ESTAC Troyes,https://cdn.sofifa.net/teams/294/60.png
AS Saint-?tienne,https://cdn.sofifa.net/teams/1819/60.png
Pachuca,https://cdn.sofifa.net/teams/110147/60.png
FC Midtjylland,https://cdn.sofifa.net/teams/1516/60.png
FC Schalke 04,https://cdn.sofifa.net/teams/34/60.png
RSC Anderlecht,https://cdn.sofifa.net/teams/229/60.png
Sheffield United,https://cdn.sofifa.net/teams/1794/60.png
Vitesse,https://cdn.sofifa.net/teams/1909/60.png
AEK Athens,https://cdn.sofifa.net/teams/278/60.png
FC Luzern,https://cdn.sofifa.net/teams/897/60.png
AC Sparta Praha,https://cdn.sofifa.net/teams/267/60.png
Venezia FC,https://cdn.sofifa.net/teams/205/60.png
Brentford,https://cdn.sofifa.net/teams/1925/60.png
Melbourne City FC,https://cdn.sofifa.net/teams/112224/60.png
Panathinaikos FC,https://cdn.sofifa.net/teams/1884/60.png
Columbus Crew,https://cdn.sofifa.net/teams/687/60.png
Philadelphia Union,https://cdn.sofifa.net/teams/112134/60.png
AFC Bournemouth,https://cdn.sofifa.net/teams/1943/60.png
PAOK,https://cdn.sofifa.net/teams/393/60.png
Club Nacional de Football,https://cdn.sofifa.net/teams/111325/60.png
Dalian Professional Football Club,https://cdn.sofifa.net/teams/112378/60.png
CD Leganés,https://cdn.sofifa.net/teams/100888/60.png
1. FSV Mainz 05,https://cdn.sofifa.net/teams/169/60.png
Chicago Fire Football Club,https://cdn.sofifa.net/teams/693/60.png
SD Eibar,https://cdn.sofifa.net/teams/467/60.png
Ceará Sporting Club,https://cdn.sofifa.net/teams/111059/60.png
Club Athletico Paranaense,https://cdn.sofifa.net/teams/1039/60.png
Juventude,https://cdn.sofifa.net/teams/111041/60.png
Aytemiz Alanyaspor,https://cdn.sofifa.net/teams/113142/60.png
FC Pa?os de Ferreira,https://cdn.sofifa.net/teams/1892/60.png
FC Viktoria Plzeň,https://cdn.sofifa.net/teams/110468/60.png
Club Deportivo Palestino,https://cdn.sofifa.net/teams/111328/60.png
Club Atlético Lanús,https://cdn.sofifa.net/teams/110395/60.png
Molde FK,https://cdn.sofifa.net/teams/417/60.png
Valenciennes FC,https://cdn.sofifa.net/teams/110456/60.png
Club Cerro Porte?o,https://cdn.sofifa.net/teams/112716/60.png
Club Tijuana,https://cdn.sofifa.net/teams/111678/60.png
Newell's Old Boys,https://cdn.sofifa.net/teams/110396/60.png
KAA Gent,https://cdn.sofifa.net/teams/674/60.png
IFK G?teborg,https://cdn.sofifa.net/teams/319/60.png
Shandong Taishan,https://cdn.sofifa.net/teams/111724/60.png
Henan Songshan Longmen FC,https://cdn.sofifa.net/teams/111779/60.png
New York City FC,https://cdn.sofifa.net/teams/112828/60.png
Qingdao FC,https://cdn.sofifa.net/teams/112961/60.png
Moreirense FC,https://cdn.sofifa.net/teams/1900/60.png
Sporting Kansas City,https://cdn.sofifa.net/teams/696/60.png
Antalyaspor,https://cdn.sofifa.net/teams/741/60.png
Club de Foot Montréal,https://cdn.sofifa.net/teams/111139/60.png
Changchun Yatai FC,https://cdn.sofifa.net/teams/111769/60.png
Macarthur FC,https://cdn.sofifa.net/teams/114604/60.png
Spezia,https://cdn.sofifa.net/teams/110741/60.png
AIK,https://cdn.sofifa.net/teams/433/60.png
GwangJu FC,https://cdn.sofifa.net/teams/112258/60.png
Clube Sport Marítimo,https://cdn.sofifa.net/teams/1893/60.png
Al Raed,https://cdn.sofifa.net/teams/112392/60.png
D.C. United,https://cdn.sofifa.net/teams/688/60.png
Malm? FF,https://cdn.sofifa.net/teams/320/60.png
FC Utrecht,https://cdn.sofifa.net/teams/1903/60.png
Celtic,https://cdn.sofifa.net/teams/78/60.png
Lecce,https://cdn.sofifa.net/teams/347/60.png
Centro Atlético Fénix,https://cdn.sofifa.net/teams/111002/60.png
Nottingham Forest,https://cdn.sofifa.net/teams/14/60.png
Fútbol Club Juárez,https://cdn.sofifa.net/teams/113134/60.png
Cerezo Osaka,https://cdn.sofifa.net/teams/101148/60.png
Ettifaq FC,https://cdn.sofifa.net/teams/112096/60.png
Hajduk Split,https://cdn.sofifa.net/teams/263/60.png
Austin FC,https://cdn.sofifa.net/teams/114161/60.png
Urawa Red Diamonds,https://cdn.sofifa.net/teams/111575/60.png
Vancouver Whitecaps FC,https://cdn.sofifa.net/teams/101112/60.png
Independiente del Valle,https://cdn.sofifa.net/teams/112908/60.png
Vélez Sarsfield,https://cdn.sofifa.net/teams/101088/60.png
Reading,https://cdn.sofifa.net/teams/1793/60.png
Br?ndby IF,https://cdn.sofifa.net/teams/269/60.png
Ulsan Hyundai FC,https://cdn.sofifa.net/teams/1473/60.png
FC Lorient,https://cdn.sofifa.net/teams/217/60.png
Empoli,https://cdn.sofifa.net/teams/1746/60.png
Mazatlán Futbol Club,https://cdn.sofifa.net/teams/114899/60.png
Deportivo Cali,https://cdn.sofifa.net/teams/101102/60.png
Club Atlético Talleres,https://cdn.sofifa.net/teams/112670/60.png
VfL Bochum 1848,https://cdn.sofifa.net/teams/160/60.png
Club Olimpia,https://cdn.sofifa.net/teams/101108/60.png
Argentinos Juniors,https://cdn.sofifa.net/teams/111019/60.png
FC Cincinnati,https://cdn.sofifa.net/teams/113149/60.png
New York Red Bulls,https://cdn.sofifa.net/teams/689/60.png
Defensa y Justicia,https://cdn.sofifa.net/teams/111710/60.png
Estudiantes de La Plata,https://cdn.sofifa.net/teams/101083/60.png
Daegu FC,https://cdn.sofifa.net/teams/2056/60.png
Al Taawoun,https://cdn.sofifa.net/teams/112393/60.png
Club Atlético Huracán,https://cdn.sofifa.net/teams/111711/60.png
Al Batin,https://cdn.sofifa.net/teams/112990/60.png
Go Ahead Eagles,https://cdn.sofifa.net/teams/100632/60.png
Bahia,https://cdn.sofifa.net/teams/1598/60.png
Atlético Clube Goianiense,https://cdn.sofifa.net/teams/112119/60.png
Middlesbrough,https://cdn.sofifa.net/teams/12/60.png
Damac FC,https://cdn.sofifa.net/teams/113217/60.png
Club Atlético Pe?arol,https://cdn.sofifa.net/teams/101110/60.png
Ferencvárosi TC,https://cdn.sofifa.net/teams/1874/60.png
Aarhus GF,https://cdn.sofifa.net/teams/271/60.png
Junior FC,https://cdn.sofifa.net/teams/101101/60.png
N.E.C. Nijmegen,https://cdn.sofifa.net/teams/1910/60.png
?aykur Rizespor,https://cdn.sofifa.net/teams/101037/60.png
Chongqing Liangjiang Athletic,https://cdn.sofifa.net/teams/112165/60.png
Birmingham City,https://cdn.sofifa.net/teams/88/60.png
Holstein Kiel,https://cdn.sofifa.net/teams/576/60.png
Tianjin Jinmen Tiger FC,https://cdn.sofifa.net/teams/111774/60.png
Real Zaragoza,https://cdn.sofifa.net/teams/244/60.png
Perth Glory,https://cdn.sofifa.net/teams/111399/60.png
Rosenborg BK,https://cdn.sofifa.net/teams/298/60.png
Club Deportivo Guadalajara,https://cdn.sofifa.net/teams/1880/60.png
SpVgg Greuther Fürth,https://cdn.sofifa.net/teams/165/60.png
FC Seoul,https://cdn.sofifa.net/teams/982/60.png
Sydney FC,https://cdn.sofifa.net/teams/111400/60.png
Adelaide United,https://cdn.sofifa.net/teams/111393/60.png
FC Twente,https://cdn.sofifa.net/teams/1908/60.png
Club Necaxa,https://cdn.sofifa.net/teams/101121/60.png
Oud-Heverlee Leuven,https://cdn.sofifa.net/teams/100087/60.png
Hebei FC,https://cdn.sofifa.net/teams/112978/60.png
Millwall,https://cdn.sofifa.net/teams/97/60.png
Club Deportivo Jorge Wilstermann,https://cdn.sofifa.net/teams/110974/60.png
Real Salt Lake,https://cdn.sofifa.net/teams/111065/60.png
Al Faisaly,https://cdn.sofifa.net/teams/112389/60.png
Gazi?ehir Gaziantep F.K.,https://cdn.sofifa.net/teams/110776/60.png
Blackburn Rovers,https://cdn.sofifa.net/teams/3/60.png
Swansea City,https://cdn.sofifa.net/teams/1960/60.png
Nashville SC,https://cdn.sofifa.net/teams/114162/60.png
LASK Linz,https://cdn.sofifa.net/teams/252/60.png
1. FC Heidenheim 1846,https://cdn.sofifa.net/teams/111235/60.png
Cardiff City,https://cdn.sofifa.net/teams/1961/60.png
Kaizer Chiefs,https://cdn.sofifa.net/teams/110929/60.png
FK Bod?/Glimt,https://cdn.sofifa.net/teams/918/60.png
Hamburger SV,https://cdn.sofifa.net/teams/28/60.png
Colorado Rapids,https://cdn.sofifa.net/teams/694/60.png
Royal Charleroi S.C.,https://cdn.sofifa.net/teams/670/60.png
KAS Eupen,https://cdn.sofifa.net/teams/2013/60.png
Club Atlético de San Luis,https://cdn.sofifa.net/teams/112678/60.png
Gil Vicente FC,https://cdn.sofifa.net/teams/1888/60.png
LDU Quito,https://cdn.sofifa.net/teams/110986/60.png
San Jose Earthquakes,https://cdn.sofifa.net/teams/111928/60.png
Al Ain FC,https://cdn.sofifa.net/teams/111701/60.png
Cuiabá,https://cdn.sofifa.net/teams/115530/60.png
Lech Poznań,https://cdn.sofifa.net/teams/873/60.png
Málaga CF,https://cdn.sofifa.net/teams/573/60.png
SV Zulte Waregem,https://cdn.sofifa.net/teams/15005/60.png
Standard de Liège,https://cdn.sofifa.net/teams/232/60.png
G?ztepe SK,https://cdn.sofifa.net/teams/101026/60.png
Gallos Blancos de Querétaro,https://cdn.sofifa.net/teams/110150/60.png
Orlando Pirates,https://cdn.sofifa.net/teams/110930/60.png
RZ Pellets Wolfsberger AC,https://cdn.sofifa.net/teams/111822/60.png
Wis?a Kraków,https://cdn.sofifa.net/teams/1873/60.png
Górnik Zabrze,https://cdn.sofifa.net/teams/420/60.png
Yukatel Kayserispor,https://cdn.sofifa.net/teams/101020/60.png
Shijiazhuang Ever Bright F.C.,https://cdn.sofifa.net/teams/112985/60.png
Boavista FC,https://cdn.sofifa.net/teams/1898/60.png
Dijon FCO,https://cdn.sofifa.net/teams/110569/60.png
Club Atlético Banfield,https://cdn.sofifa.net/teams/110404/60.png
Yeni Malatyaspor,https://cdn.sofifa.net/teams/113259/60.png
Santa Clara,https://cdn.sofifa.net/teams/1438/60.png
San Lorenzo de Almagro,https://cdn.sofifa.net/teams/1013/60.png
Kasimpa?a SK,https://cdn.sofifa.net/teams/111339/60.png
FC Erzgebirge Aue,https://cdn.sofifa.net/teams/506/60.png
Sheffield Wednesday,https://cdn.sofifa.net/teams/1807/60.png
Hannover 96,https://cdn.sofifa.net/teams/485/60.png
Ataka? Hatayspor,https://cdn.sofifa.net/teams/101028/60.png
Benevento,https://cdn.sofifa.net/teams/112026/60.png
Houston Dynamo,https://cdn.sofifa.net/teams/698/60.png
